Car Id,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
1,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
2,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner
3,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner
4,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
5,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
6,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner
7,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner
8,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner
9,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner
10,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner
11,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner
12,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner
13,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
14,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
15,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner
16,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner
17,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
18,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
19,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner
20,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner
21,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner
22,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner
23,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner
24,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner
25,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner
26,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
27,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner
28,Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
29,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner
30,Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
31,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
32,Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
33,Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
34,Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner
35,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner
36,Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
37,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
38,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
39,Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner
40,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner
41,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner
42,Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
