work_year,experience_level,employment_type,job_title,salary
2020,MI,FT,Data Scientist,70000
2020,SE,FT,Machine Learning Scientist,260000
2020,SE,FT,Big Data Engineer,85000
2020,MI,FT,Product Data Analyst,20000
2020,SE,FT,Machine Learning Engineer,150000
2020,EN,FT,Data Analyst,72000
2020,SE,FT,Lead Data Scientist,190000
2020,MI,FT,Data Scientist,11000000
2020,MI,FT,Business Data Analyst,135000
2020,SE,FT,Lead Data Engineer,125000
2020,EN,FT,Data Scientist,45000
2020,MI,FT,Data Scientist,3000000
2020,EN,FT,Data Scientist,35000
2020,MI,FT,Lead Data Analyst,87000
2020,MI,FT,Data Analyst,85000
2020,MI,FT,Data Analyst,8000
2020,EN,FT,Data Engineer,4450000
2020,SE,FT,Big Data Engineer,100000
2020,EN,FT,Data Science Consultant,423000
2020,MI,FT,Lead Data Engineer,56000
2020,MI,FT,Machine Learning Engineer,299000
2020,MI,FT,Product Data Analyst,450000
2020,SE,FT,Data Engineer,42000
2020,MI,FT,BI Data Analyst,98000
2020,MI,FT,Lead Data Scientist,115000
2020,EX,FT,Director of Data Science,325000
2020,EN,FT,Research Scientist,42000
2020,SE,FT,Data Engineer,720000
2020,EN,CT,Business Data Analyst,100000
2020,SE,FT,Machine Learning Manager,157000
2020,MI,FT,Data Engineering Manager,51999
2020,EN,FT,Big Data Engineer,70000
2020,SE,FT,Data Scientist,60000
2020,MI,FT,Research Scientist,450000
2020,MI,FT,Data Analyst,41000
2020,MI,FT,Data Engineer,65000
2020,MI,FT,Data Science Consultant,103000
2020,EN,FT,Machine Learning Engineer,250000
2020,EN,FT,Data Analyst,10000
2020,EN,FT,Machine Learning Engineer,138000
2020,MI,FT,Data Scientist,45760
2020,EX,FT,Data Engineering Manager,70000
2020,MI,FT,Machine Learning Infrastructure Engineer,44000
2020,MI,FT,Data Engineer,106000
2020,MI,FT,Data Engineer,88000
2020,EN,PT,ML Engineer,14000
2020,MI,FT,Data Scientist,60000
2020,SE,FT,Data Engineer,188000
2020,MI,FT,Data Scientist,105000
2020,MI,FT,Data Engineer,61500
2020,EN,FT,Data Analyst,450000
2020,EN,FT,Data Analyst,91000
2020,EN,FT,AI Scientist,300000
2020,EN,FT,Data Engineer,48000
2020,SE,FL,Computer Vision Engineer,60000
2020,SE,FT,Principal Data Scientist,130000
2020,MI,FT,Data Scientist,34000
2020,MI,FT,Data Scientist,118000
2020,SE,FT,Data Scientist,120000
2020,MI,FT,Data Scientist,138350
2020,MI,FT,Data Engineer,110000
2020,MI,FT,Data Engineer,130800
2020,EN,PT,Data Scientist,19000
2020,SE,FT,Data Scientist,412000
2020,SE,FT,Machine Learning Engineer,40000
2020,EN,FT,Data Scientist,55000
2020,EN,FT,Data Scientist,43200
2020,SE,FT,Data Science Manager,190200
2020,EN,FT,Data Scientist,105000
2020,SE,FT,Data Scientist,80000
2020,MI,FT,Data Scientist,55000
2020,MI,FT,Data Scientist,37000
2021,EN,FT,Research Scientist,60000
2021,EX,FT,BI Data Analyst,150000
2021,EX,FT,Head of Data,235000
2021,SE,FT,Data Scientist,45000
2021,MI,FT,BI Data Analyst,100000
2021,MI,PT,3D Computer Vision Researcher,400000
2021,MI,CT,ML Engineer,270000
2021,EN,FT,Data Analyst,80000
2021,SE,FT,Data Analytics Engineer,67000
2021,MI,FT,Data Engineer,140000
2021,MI,FT,Applied Data Scientist,68000
2021,MI,FT,Machine Learning Engineer,40000
2021,EX,FT,Director of Data Science,130000
2021,MI,FT,Data Engineer,110000
2021,EN,FT,Data Analyst,50000
2021,MI,FT,Data Analytics Engineer,110000
2021,SE,FT,Lead Data Analyst,170000
2021,SE,FT,Data Analyst,80000
2021,SE,FT,Marketing Data Analyst,75000
2021,EN,FT,Data Science Consultant,65000
2021,MI,FT,Lead Data Analyst,1450000
2021,SE,FT,Lead Data Engineer,276000
2021,EN,FT,Data Scientist,2200000
2021,MI,FT,Cloud Data Engineer,120000
2021,EN,PT,AI Scientist,12000
2021,MI,FT,Financial Data Analyst,450000
2021,EN,FT,Computer Vision Software Engineer,70000
2021,MI,FT,Computer Vision Software Engineer,81000
2021,MI,FT,Data Analyst,75000
2021,SE,FT,Data Engineer,150000
2021,MI,FT,BI Data Analyst,11000000
2021,MI,FT,Data Analyst,62000
2021,MI,FT,Data Scientist,73000
2021,MI,FT,Data Analyst,37456
2021,MI,FT,Research Scientist,235000
2021,SE,FT,Data Engineer,115000
2021,SE,FT,Data Engineer,150000
2021,EN,FT,Data Engineer,2250000
2021,SE,FT,Machine Learning Engineer,80000
2021,SE,FT,Director of Data Engineering,82500
2021,SE,FT,Lead Data Engineer,75000
2021,EN,PT,AI Scientist,12000
2021,MI,FT,Data Engineer,38400
2021,EN,FT,Machine Learning Scientist,225000
2021,MI,FT,Data Scientist,50000
2021,MI,FT,Data Science Engineer,34000
2021,EN,FT,Data Analyst,90000
2021,MI,FT,Data Engineer,200000
2021,MI,FT,Big Data Engineer,60000
2021,SE,FT,Principal Data Engineer,200000
2021,EN,FT,Data Analyst,50000
2021,EN,FT,Applied Data Scientist,80000
2021,EN,PT,Data Analyst,8760
2021,MI,FT,Principal Data Scientist,151000
2021,SE,FT,Machine Learning Scientist,120000
2021,MI,FT,Data Scientist,700000
2021,EN,FT,Machine Learning Engineer,20000
2021,SE,FT,Lead Data Scientist,3000000
2021,EN,FT,Machine Learning Developer,100000
2021,EN,FT,Data Scientist,42000
2021,MI,FT,Applied Machine Learning Scientist,38400
2021,SE,FT,Computer Vision Engineer,24000
2021,EN,FT,Data Scientist,100000
2021,MI,FT,Data Analyst,90000
2021,MI,FT,ML Engineer,7000000
2021,MI,FT,ML Engineer,8500000
2021,SE,FT,Principal Data Scientist,220000
2021,EN,FT,Data Scientist,80000
2021,MI,FT,Data Analyst,135000
2021,SE,FT,Data Science Manager,240000
2021,SE,FT,Data Engineering Manager,150000
2021,MI,FT,Data Scientist,82500
2021,MI,FT,Data Engineer,100000
2021,SE,FT,Machine Learning Engineer,70000
2021,MI,FT,Research Scientist,53000
2021,MI,FT,Data Engineer,90000
2021,SE,FT,Data Engineering Manager,153000
2021,SE,FT,Cloud Data Engineer,160000
2021,SE,FT,Director of Data Science,168000
2021,MI,FT,Data Scientist,150000
2021,MI,FT,Data Scientist,95000
2021,EN,FT,Data Scientist,13400
2021,SE,FT,Data Science Manager,144000
2021,SE,FT,Data Science Engineer,159500
2021,MI,FT,Data Scientist,160000
2021,MI,FT,Applied Machine Learning Scientist,423000
2021,SE,FT,Data Analytics Manager,120000
2021,EN,FT,Machine Learning Engineer,125000
2021,EX,FT,Head of Data,230000
2021,EX,FT,Head of Data Science,85000
2021,MI,FT,Data Engineer,24000
2021,EN,FT,Data Science Consultant,54000
2021,EX,FT,Director of Data Science,110000
2021,SE,FT,Data Specialist,165000
2021,EN,FT,Data Engineer,80000
2021,EX,FT,Director of Data Science,250000
2021,EN,FT,BI Data Analyst,55000
2021,MI,FT,Data Architect,150000
2021,MI,FT,Data Architect,170000
2021,MI,FT,Data Engineer,60000
2021,EN,FT,Data Analyst,60000
2021,SE,FT,Principal Data Scientist,235000
2021,SE,FT,Research Scientist,51400
2021,SE,FT,Data Engineering Manager,174000
2021,MI,FT,Data Scientist,58000
2021,MI,FT,Data Scientist,30400000
2021,EN,FT,Machine Learning Engineer,81000
2021,MI,FT,Data Scientist,420000
2021,MI,FT,Big Data Engineer,1672000
2021,MI,FT,Data Scientist,76760
2021,MI,FT,Data Engineer,22000
